Section	Is it sticky?	Slug	Story page headline	Story page text	Puzzle ID	Round URL	YouTube ID	notification	Email subject	Email body	Secret code
opening			A Star Rats update from Hayden Library	The search for Star Rats is derailed when it is discovered that Hayden Library has mysteriously disappeared.			xHZhW8gvsJg
ministry	1	ministry_unlocked	Meeting with the Ministers from the Ministry of Intertextual Transportation	Meeting with the Ministers: The library-aligned ministers give an overview of what's going on; <em>this video provides useful information about The Ministry</em> and should be watched before starting The Ministry puzzles.		the-ministry	fp9KHlyXmx8	You have been invited to a SpaceBook Messenger videochat with the ministers from the Ministry of Intertextual Transportation. THERE IS IMPORTANT INFORMATION FOR YOU HERE.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with the Ministers of the Ministry of Intertextual Transportation.  They have important information to impart; please join at your earliest convenience Visit [link].
ministry	1	barker_solved	Meeting with Barker	Barker recalls that whatever attacked Bookspace is <span class="spoiler">SOMEWHAT BUGGY</span>.	83		J8Vfjc0bwWA	You have been invited to a SpaceBook Messenger videochat with Minister Barker. 	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Barker. Visit [link].
ministry	1	dewey_solved	Meeting with Dewey	Dewey recalls that whatever attacked Bookspace has a <span class="spoiler">COLORFUL HEAD</span>.	152		Hfyf5eFzGmk	You have been invited to a SpaceBook Messenger videochat with Minister Dewey.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Dewey. Visit [link].
ministry	1	hayden_solved	Meeting with Hayden	Hayden recalls that whatever attacked Bookspace <span class="spoiler">GOES ON LONGER THAN WAR AND PEACE</span>.	168		7jy42e1RRK0	You have been invited to a SpaceBook Messenger videochat with Minister Hayden.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Hayden. Visit [link].
ministry	1	lewis_solved	Meeting with Lewis	Lewis recalls that whatever attacked Bookspace has a <span class="spoiler">MULTIPART COMPOSITION</span>.	201		BoY1_zKDqgM	You have been invited to a SpaceBook Messenger videochat with Minister Lewis.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Lewis. Visit [link].
ministry	1	rotch_solved	Meeting with the Rotch Brothers	The Rotch Brothers recall that whatever attacked Bookspace is <span class="spoiler">EVEN IN WIDTH</span>.	155		tAW4HiUjv5Q	You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch. Visit [link].
ministry	1	ministry_solved	The Wyrm Turns	It is revealed that Bookspace was damaged when <span class="spoiler">A VORACIOUS BOOKWYRM RAN AMOK</span>	1		H_Xn9OjeBeA	You have been invited to a SpaceBook Messenger videochat with the Ministers.  Check your email for details!	SpaceBook Messenger Invitation	YOU'VE DONE IT! Thank you for jogging our memories and finding the cause of Bookspace's destruction! Gather your fellow solvers; you will shortly be receiving a second email with a link for an important communication so we can thank you personally.
ministry	1	ministry_solved_autopilot	The Wyrm Turns	It is revealed that Bookspace was damaged when <span class="spoiler">A VORACIOUS BOOKWYRM RAN AMOK</span>	1		H_Xn9OjeBeA	You have been invited to a SpaceBook Messenger videochat with the Ministers.	SpaceBook Messenger Invitation	YOU'VE DONE IT! Thank you for jogging our memories and finding the cause of Bookspace's destruction! You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch. Visit [link] so we can express our gratitude.
ministry	1	fruit_around_solved	Take Wings and Fly	The wyrm becomes a lovely butterfly, when we <span class="spoiler">FEED IT A NEW BERRY</span>.	508		x4ve7nuCxew	You are invited to watch an amazing transformation!	An amazing transformation!	You are invited to watch an amazing transformation! Visit [link].
tock	1	tock_1	A new friend, Tock	introduces himself.  <em>it would be useful to watch this video and get an overview of the next steps.</em>			zSnovukGiMI	There’s someone who would like to meet you!	A new friend would like to meet you!	There’s someone who would like to meet you! Please visit [link] to meet your new friend.
tock	1	tock_2	Tock welcomes you to Bookspace	and explains about the plot device. <em>This video provides useful information about Bookspace</em> and should be watched before starting Bookspace puzzles.			IdMbagDS1p4	Tock has some useful information about Bookspace.  THERE IS IMPORTANT INFORMATION FOR YOU HERE.	A new message from Tock	Tock has important information about the new world you have entered. Please view this message at your earliest convenience [link]
